#mc_id,pct_full,cell_generation,num_cells
0,0.25,0,1
0,0.25,1,4
0,0.25,2,6
0,0.25,3,4
0,0.25,4,1
0,0.5,0,1
0,0.5,1,4
0,0.5,2,9
0,0.5,3,10
0,0.5,4,6
0,0.5,5,2
0,0.75,1,4
0,0.75,2,11
0,0.75,3,14
0,0.75,4,14
0,0.75,5,5
0,1,1,1
0,1,2,9
0,1,3,16
0,1,4,18
0,1,5,16
0,1,6,3
0,1,7,1
1,0.25,0,1
1,0.25,1,3
1,0.25,2,5
1,0.25,3,4
1,0.25,4,3
1,0.5,0,1
1,0.5,1,4
1,0.5,2,7
1,0.5,3,9
1,0.5,4,7
1,0.5,5,4
1,0.75,0,1
1,0.75,1,4
1,0.75,2,6
1,0.75,3,12
1,0.75,4,15
1,0.75,5,8
1,0.75,6,2
1,1,0,1
1,1,1,2
1,1,2,1
1,1,3,8
1,1,4,15
1,1,5,21
1,1,6,12
1,1,7,3
1,1,8,1
2,0.25,0,1
2,0.25,1,4
2,0.25,2,6
2,0.25,3,4
2,0.25,4,1
2,0.5,0,1
2,0.5,1,4
2,0.5,2,10
2,0.5,3,9
2,0.5,4,6
2,0.5,5,1
2,0.5,6,1
2,0.75,0,1
2,0.75,1,4
2,0.75,2,12
2,0.75,3,8
2,0.75,4,13
2,0.75,5,7
2,0.75,6,3
2,1,0,1
2,1,1,4
2,1,2,11
2,1,3,7
2,1,4,15
2,1,5,14
2,1,6,10
2,1,7,2
3,0.25,0,1
3,0.25,1,4
3,0.25,2,5
3,0.25,3,5
3,0.25,4,1
3,0.5,0,1
3,0.5,1,3
3,0.5,2,5
3,0.5,3,9
3,0.5,4,9
3,0.5,5,4
3,0.5,6,1
3,0.75,1,1
3,0.75,2,3
3,0.75,3,9
3,0.75,4,14
3,0.75,5,14
3,0.75,6,6
3,0.75,7,1
3,1,2,2
3,1,3,9
3,1,4,12
3,1,5,16
3,1,6,14
3,1,7,7
3,1,8,4
4,0.25,0,1
4,0.25,1,4
4,0.25,2,6
4,0.25,3,4
4,0.25,4,1
4,0.5,0,1
4,0.5,1,4
4,0.5,2,9
4,0.5,3,10
4,0.5,4,6
4,0.5,5,2
4,0.75,0,1
4,0.75,1,3
4,0.75,2,9
4,0.75,3,17
4,0.75,4,11
4,0.75,5,5
4,0.75,6,2
4,1,0,1
4,1,1,1
4,1,2,1
4,1,3,10
4,1,4,17
4,1,5,14
4,1,6,12
4,1,7,6
4,1,8,2
5,0.25,0,1
5,0.25,1,4
5,0.25,2,6
5,0.25,3,4
5,0.25,4,1
5,0.5,0,1
5,0.5,1,4
5,0.5,2,12
5,0.5,3,8
5,0.5,4,7
5,0.75,0,1
5,0.75,1,4
5,0.75,2,9
5,0.75,3,12
5,0.75,4,13
5,0.75,5,7
5,0.75,6,2
5,1,0,1
5,1,1,3
5,1,2,7
5,1,3,9
5,1,4,16
5,1,5,17
5,1,6,10
5,1,7,1
6,0.25,0,1
6,0.25,1,4
6,0.25,2,6
6,0.25,3,4
6,0.25,4,1
6,0.5,0,1
6,0.5,1,5
6,0.5,2,8
6,0.5,3,10
6,0.5,4,7
6,0.5,5,1
6,0.75,0,1
6,0.75,1,4
6,0.75,2,7
6,0.75,3,11
6,0.75,4,16
6,0.75,5,6
6,0.75,6,2
6,0.75,7,1
6,1,0,1
6,1,1,4
6,1,2,7
6,1,3,6
6,1,4,20
6,1,5,17
6,1,6,7
6,1,7,1
6,1,8,1
7,0.25,1,4
7,0.25,2,7
7,0.25,3,4
7,0.25,4,1
7,0.5,1,3
7,0.5,2,9
7,0.5,3,11
7,0.5,4,7
7,0.5,5,2
7,0.75,1,1
7,0.75,2,9
7,0.75,3,14
7,0.75,4,13
7,0.75,5,8
7,0.75,6,3
7,1,2,3
7,1,3,10
7,1,4,21
7,1,5,17
7,1,6,7
7,1,7,5
7,1,8,1
8,0.25,0,1
8,0.25,1,4
8,0.25,2,6
8,0.25,3,4
8,0.25,4,1
8,0.5,0,1
8,0.5,1,5
8,0.5,2,10
8,0.5,3,10
8,0.5,4,5
8,0.5,5,1
8,0.75,1,2
8,0.75,2,10
8,0.75,3,16
8,0.75,4,14
8,0.75,5,5
8,0.75,6,1
8,1,4,3
8,1,5,6
8,1,6,8
8,1,7,8
8,1,8,8
8,1,9,8
8,1,10,13
8,1,11,6
8,1,12,3
8,1,13,1
9,0.25,0,1
9,0.25,1,4
9,0.25,2,6
9,0.25,3,4
9,0.25,4,1
9,0.5,0,1
9,0.5,1,4
9,0.5,2,9
9,0.5,3,10
9,0.5,4,6
9,0.5,5,2
9,0.75,1,3
9,0.75,2,8
9,0.75,3,16
9,0.75,4,13
9,0.75,5,7
9,0.75,6,1
9,1,1,2
9,1,2,7
9,1,3,12
9,1,4,15
9,1,5,15
9,1,6,7
9,1,7,4
9,1,8,2
10,0.25,1,4
10,0.25,2,7
10,0.25,3,4
10,0.25,4,1
10,0.5,1,3
10,0.5,2,10
10,0.5,3,12
10,0.5,4,6
10,0.5,5,1
10,0.75,1,3
10,0.75,2,8
10,0.75,3,16
10,0.75,4,15
10,0.75,5,5
10,0.75,6,1
10,1,1,1
10,1,2,4
10,1,3,9
10,1,4,20
10,1,5,17
10,1,6,10
10,1,7,2
10,1,8,1
11,0.25,0,1
11,0.25,1,4
11,0.25,2,6
11,0.25,3,4
11,0.25,4,1
11,0.5,0,1
11,0.5,1,5
11,0.5,2,10
11,0.5,3,8
11,0.5,4,6
11,0.5,5,2
11,0.75,0,1
11,0.75,1,5
11,0.75,2,12
11,0.75,3,12
11,0.75,4,10
11,0.75,5,6
11,0.75,6,2
11,1,0,1
11,1,1,4
11,1,2,11
11,1,3,14
11,1,4,15
11,1,5,11
11,1,6,6
11,1,7,2
12,0.25,0,1
12,0.25,1,3
12,0.25,2,5
12,0.25,3,4
12,0.25,4,3
12,0.5,1,4
