#mc_id,pct_full,cell_generation,num_cells
0,0.25,5,2
0,0.25,6,1
0,0.25,7,5
0,0.25,8,14
0,0.25,9,21
0,0.25,10,42
0,0.25,11,64
0,0.25,12,59
0,0.25,13,30
0,0.25,14,13
0,0.25,15,4
0,0.25,16,1
0,0.5,5,1
0,0.5,8,1
0,0.5,10,5
0,0.5,11,16
0,0.5,12,35
0,0.5,13,68
0,0.5,14,91
0,0.5,15,90
0,0.5,16,78
0,0.5,17,59
0,0.5,18,37
0,0.5,19,19
0,0.5,20,10
0,0.5,21,1
0,0.5,22,1
0,0.75,10,1
0,0.75,11,2
0,0.75,12,6
0,0.75,13,15
0,0.75,14,21
0,0.75,15,42
0,0.75,16,69
0,0.75,17,95
0,0.75,18,117
0,0.75,19,126
0,0.75,20,115
0,0.75,21,77
0,0.75,22,44
0,0.75,23,19
0,0.75,24,12
0,0.75,25,6
0,0.75,26,1
0,1,19,1
0,1,20,3
0,1,21,6
0,1,22,15
0,1,23,25
0,1,24,48
0,1,25,65
0,1,26,74
0,1,27,85
0,1,28,118
0,1,29,121
0,1,30,122
0,1,31,101
0,1,32,77
0,1,33,67
0,1,34,47
0,1,35,31
0,1,36,12
0,1,37,5
0,1,38,1
1,0.25,6,2
1,0.25,7,4
1,0.25,8,4
1,0.25,9,16
1,0.25,10,21
1,0.25,11,27
1,0.25,12,32
1,0.25,13,41
1,0.25,14,50
1,0.25,15,35
1,0.25,16,14
1,0.25,17,8
1,0.25,18,2
1,0.5,9,1
1,0.5,10,5
1,0.5,11,3
1,0.5,12,11
1,0.5,13,23
1,0.5,14,28
1,0.5,15,57
1,0.5,16,84
1,0.5,17,89
1,0.5,18,71
1,0.5,19,47
1,0.5,20,38
1,0.5,21,27
1,0.5,22,12
1,0.5,23,9
1,0.5,24,6
1,0.5,25,1
1,0.75,11,1
1,0.75,12,5
1,0.75,13,5
1,0.75,14,10
1,0.75,15,20
1,0.75,16,35
1,0.75,17,51
1,0.75,18,91
1,0.75,19,115
1,0.75,20,99
1,0.75,21,91
1,0.75,22,76
1,0.75,23,61
1,0.75,24,41
1,0.75,25,25
1,0.75,26,18
1,0.75,27,10
1,0.75,28,8
1,0.75,29,2
1,0.75,30,3
1,0.75,31,1
1,1,19,1
1,1,20,2
1,1,21,7
1,1,22,13
1,1,23,25
1,1,24,31
1,1,25,47
1,1,26,79
1,1,27,100
1,1,28,114
1,1,29,110
1,1,30,127
1,1,31,92
1,1,32,68
1,1,33,52
1,1,34,48
1,1,35,37
1,1,36,26
1,1,37,22
1,1,38,13
1,1,39,3
1,1,40,2
1,1,42,2
1,1,43,2
1,1,44,1
2,0.25,6,1
2,0.25,7,1
2,0.25,8,4
2,0.25,9,14
2,0.25,10,39
2,0.25,11,59
2,0.25,12,58
2,0.25,13,39
2,0.25,14,19
2,0.25,15,7
2,0.25,16,5
2,0.25,17,6
2,0.25,18,4
2,0.5,9,1
2,0.5,10,2
2,0.5,11,3
2,0.5,12,13
2,0.5,13,28
2,0.5,14,65
2,0.5,15,87
2,0.5,16,91
2,0.5,17,82
2,0.5,18,55
2,0.5,19,34
2,0.5,20,24
2,0.5,21,15
2,0.5,22,9
2,0.5,23,3
2,0.75,11,1
2,0.75,12,2
2,0.75,13,5
2,0.75,14,6
2,0.75,15,25
2,0.75,16,39
2,0.75,17,63
2,0.75,18,102
2,0.75,19,108
2,0.75,20,112
2,0.75,21,97
2,0.75,22,86
2,0.75,23,56
2,0.75,24,36
2,0.75,25,14
2,0.75,26,6
2,0.75,27,6
2,0.75,28,4
2,1,20,1
2,1,21,1
2,1,22,4
2,1,23,13
2,1,24,22
2,1,25,44
2,1,26,84
2,1,27,101
2,1,28,136
2,1,29,124
2,1,30,112
2,1,31,110
2,1,32,87
2,1,33,64
2,1,34,43
2,1,35,31
2,1,36,18
2,1,37,7
2,1,38,4
2,1,39,3
2,1,40,7
2,1,41,4
2,1,42,4
3,0.25,0,1
3,0.25,1,5
3,0.25,2,9
3,0.25,3,12
3,0.25,4,14
3,0.25,5,23
3,0.25,6,27
3,0.25,7,29
3,0.25,8,32
3,0.25,9,33
3,0.25,10,25
3,0.25,11,19
3,0.25,12,11
3,0.25,13,9
3,0.25,14,6
3,0.25,15,1
3,0.5,0,1
3,0.5,1,1
3,0.5,2,2
3,0.5,3,3
3,0.5,4,7
3,0.5,5,8
3,0.5,6,12
3,0.5,7,16
3,0.5,8,29
3,0.5,9,30
3,0.5,10,34
3,0.5,11,45
3,0.5,12,36
3,0.5,13,61
3,0.5,14,68
3,0.5,15,51
3,0.5,16,36
3,0.5,17,30
3,0.5,18,25
3,0.5,19,14
3,0.5,20,2
3,0.5,21,1
3,0.75,4,2
3,0.75,5,3
3,0.75,6,6
3,0.75,7,7
3,0.75,8,13
3,0.75,9,13
3,0.75,10,14
3,0.75,11,26
3,0.75,12,38
3,0.75,13,46
3,0.75,14,44
3,0.75,15,64
3,0.75,16,83
3,0.75,17,102
3,0.75,18,101
3,0.75,19,72
3,0.75,20,53
3,0.75,21,31
3,0.75,22,28
3,0.75,23,16
3,0.75,24,5
3,0.75,25,1
3,1,14,1
3,1,15,3
3,1,16,8
3,1,17,5
3,1,18,12
3,1,19,11
3,1,20,17
3,1,21,26
3,1,22,35
3,1,23,50
3,1,24,77
3,1,25,95
3,1,26,104
3,1,27,128
3,1,28,132
3,1,29,104
3,1,30,80
3,1,31,62
3,1,32,35
3,1,33,22
3,1,34,10
3,1,35,5
3,1,36,2
4,0.25,4,1
4,0.25,5,1
4,0.25,6,2
4,0.25,7,8
4,0.25,8,15
4,0.25,9,39
4,0.25,10,53
4,0.25,11,39
4,0.25,12,29
4,0.25,13,27
4,0.25,14,22
4,0.25,15,13
4,0.25,16,6
4,0.25,17,1
4,0.5,5,1
4,0.5,10,7
4,0.5,11,13
4,0.5,12,34
4,0.5,13,69
4,0.5,14,79
4,0.5,15,79
4,0.5,16,74
4,0.5,17,59
4,0.5,18,44
4,0.5,19,23
4,0.5,20,13
4,0.5,21,7
4,0.5,22,7
4,0.5,23,2
4,0.5,24,1
4,0.75,12,1
4,0.75,13,6
4,0.75,14,17
4,0.75,15,52
4,0.75,16,79
4,0.75,17,97
4,0.75,18,110
4,0.75,19,113
4,0.75,20,98
4,0.75,21,68
4,0.75,22,46
4,0.75,23,29
4,0.75,24,17
4,0.75,25,13
4,0.75,26,15
4,0.75,27,6
4,0.75,28,1
4,1,20,4
4,1,21,12
4,1,22,17
4,1,23,42
4,1,24,64
4,1,25,76
4,1,26,97
4,1,27,95
4,1,28,101
4,1,29,94
4,1,30,115
4,1,31,91
4,1,32,81
4,1,33,51
4,1,34,32
4,1,35,26
4,1,36,12
4,1,37,9
4,1,38,4
4,1,39,1
5,0.25,3,1
5,0.25,4,6
5,0.25,5,16
5,0.25,6,20
5,0.25,7,26
5,0.25,8,35
5,0.25,9,43
5,0.25,10,36
5,0.25,11,19
5,0.25,12,24
5,0.25,13,17
5,0.25,14,11
5,0.25,15,2
5,0.5,5,1
5,0.5,6,4
5,0.5,7,3
5,0.5,8,12
5,0.5,9,20
5,0.5,10,39
5,0.5,11,42
5,0.5,12,43
5,0.5,13,48
5,0.5,14,66
5,0.5,15,60
5,0.5,16,59
5,0.5,17,47
5,0.5,18,34
5,0.5,19,20
5,0.5,20,10
5,0.5,21,3
5,0.5,22,1
5,0.75,6,1
5,0.75,9,7
5,0.75,10,12
5,0.75,11,10
5,0.75,12,16
5,0.75,13,29
5,0.75,14,38
5,0.75,15,57
5,0.75,16,77
5,0.75,17,89
5,0.75,18,85
5,0.75,19,91
5,0.75,20,80
5,0.75,21,63
5,0.75,22,49
5,0.75,23,39
5,0.75,24,21
5,0.75,25,4
5,1,18,2
5,1,19,4
5,1,20,4
5,1,21,5
5,1,22,13
5,1,23,11
5,1,24,28
5,1,25,64
5,1,26,82
5,1,27,89
5,1,28,102
5,1,29,102
5,1,30,80
5,1,31,80
5,1,32,78
5,1,33,55
5,1,34,58
5,1,35,66
5,1,36,51
5,1,37,25
5,1,38,14
5,1,39,9
5,1,40,2
6,0.25,0,1
6,0.25,2,1
6,0.25,3,1
6,0.25,4,2
6,0.25,5,1
6,0.25,6,4
6,0.25,7,8
6,0.25,8,23
6,0.25,9,37
6,0.25,10,52
6,0.25,11,49
6,0.25,12,36
6,0.25,13,24
6,0.25,14,13
6,0.25,15,4
6,0.5,6,1
6,0.5,7,2
6,0.5,8,2
6,0.5,9,3
6,0.5,10,12
6,0.5,11,29
6,0.5,12,33
6,0.5,13,43
6,0.5,14,82
6,0.5,15,82
6,0.5,16,66
6,0.5,17,62
6,0.5,18,47
6,0.5,19,34
6,0.5,20,11
6,0.5,21,2
6,0.5,22,1
6,0.75,7,1
6,0.75,8,1
6,0.75,11,1
6,0.75,12,2
6,0.75,13,11
6,0.75,14,24
6,0.75,15,34
6,0.75,16,72
6,0.75,17,100
6,0.75,18,113
6,0.75,19,124
6,0.75,20,106
6,0.75,21,78
6,0.75,22,51
6,0.75,23,27
6,0.75,24,14
6,0.75,25,7
6,0.75,26,2
6,1,19,3
6,1,20,5
6,1,21,9
6,1,22,10
6,1,23,17
6,1,24,29
6,1,25,41
6,1,26,49
6,1,27,71
6,1,28,88
6,1,29,122
6,1,30,121
6,1,31,106
6,1,32,91
6,1,33,78
6,1,34,70
6,1,35,50
6,1,36,30
6,1,37,17
6,1,38,12
6,1,39,4
6,1,40,1
7,0.25,4,2
7,0.25,5,6
7,0.25,6,11
7,0.25,7,17
7,0.25,8,24
7,0.25,9,22
7,0.25,10,30
7,0.25,11,36
7,0.25,12,40
7,0.25,13,30
7,0.25,14,22
7,0.25,15,13
7,0.25,16,3
7,0.5,7,1
7,0.5,8,2
7,0.5,9,4
7,0.5,10,18
7,0.5,11,16
7,0.5,12,34
7,0.5,13,51
7,0.5,14,52
7,0.5,15,65
7,0.5,16,63
7,0.5,17,69
7,0.5,18,65
7,0.5,19,44
7,0.5,20,17
7,0.5,21,7
7,0.5,22,3
7,0.5,23,1
7,0.75,10,1
7,0.75,11,4
7,0.75,12,10
7,0.75,13,19
7,0.75,14,23
7,0.75,15,42
7,0.75,16,63
7,0.75,17,70
7,0.75,18,86
7,0.75,19,106
7,0.75,20,101
7,0.75,21,74
7,0.75,22,65
7,0.75,23,55
7,0.75,24,27
7,0.75,25,10
7,0.75,26,7
7,0.75,27,4
7,0.75,28,1
7,1,19,1
7,1,20,5
7,1,21,13
7,1,22,16
7,1,23,16
7,1,24,23
7,1,25,40
7,1,26,41
7,1,27,50
7,1,28,52
7,1,29,60
7,1,30,76
7,1,31,102
7,1,32,94
7,1,33,97
7,1,34,87
7,1,35,70
7,1,36,62
7,1,37,37
7,1,38,25
7,1,39,23
7,1,40,19
7,1,41,8
7,1,42,5
7,1,43,1
7,1,44,1
8,0.25,6,3
8,0.25,7,3
8,0.25,8,18
8,0.25,9,34
8,0.25,10,45
8,0.25,11,51
8,0.25,12,39
8,0.25,13,29
8,0.25,14,16
8,0.25,15,10
8,0.25,16,4
8,0.25,17,4
8,0.5,9,1
8,0.5,10,11
8,0.5,11,29
8,0.5,12,41
8,0.5,13,58
8,0.5,14,74
8,0.5,15,86
8,0.5,16,79
8,0.5,17,63
8,0.5,18,34
8,0.5,19,15
8,0.5,20,9
8,0.5,21,8
8,0.5,22,3
8,0.5,23,1
8,0.75,11,3
8,0.75,12,5
8,0.75,13,14
8,0.75,14,30
8,0.75,15,45
8,0.75,16,64
8,0.75,17,89
8,0.75,18,111
8,0.75,19,122
8,0.75,20,90
8,0.75,21,82
8,0.75,22,59
8,0.75,23,31
8,0.75,24,17
8,0.75,25,3
8,0.75,26,2
8,0.75,27,1
8,1,17,2
8,1,18,3
8,1,19,5
8,1,20,10
8,1,21,22
8,1,22,29
8,1,23,40
8,1,24,52
8,1,25,61
8,1,26,94
8,1,27,133
8,1,28,124
8,1,29,118
8,1,30,102
8,1,31,77
8,1,32,56
8,1,33,43
8,1,34,25
8,1,35,18
8,1,36,8
8,1,37,1
8,1,38,1
9,0.25,6,2
9,0.25,7,4
9,0.25,8,12
9,0.25,9,24
9,0.25,10,39
9,0.25,11,55
9,0.25,12,44
9,0.25,13,36
9,0.25,14,29
9,0.25,15,11
9,0.5,9,1
9,0.5,10,1
9,0.5,11,14
9,0.5,12,35
9,0.5,13,50
9,0.5,14,61
9,0.5,15,81
9,0.5,16,97
9,0.5,17,81
9,0.5,18,48
9,0.5,19,32
9,0.5,20,10
9,0.5,21,1
9,0.75,12,1
9,0.75,13,8
9,0.75,14,21
9,0.75,15,43
9,0.75,16,47
9,0.75,17,64
9,0.75,18,94
9,0.75,19,130
9,0.75,20,133
9,0.75,21,100
9,0.75,22,71
9,0.75,23,36
9,0.75,24,11
9,0.75,25,5
9,0.75,26,3
9,0.75,27,1
9,1,20,3
9,1,21,6
9,1,22,19
9,1,23,31
9,1,24,48
9,1,25,66
9,1,26,88
9,1,27,100
9,1,28,101
9,1,29,114
9,1,30,113
9,1,31,108
9,1,32,74
9,1,33,61
9,1,34,51
9,1,35,25
9,1,36,12
9,1,37,3
9,1,38,1
10,0.25,8,7
10,0.25,9,16
10,0.25,10,28
10,0.25,11,37
10,0.25,12,49
10,0.25,13,50
10,0.25,14,37
10,0.25,15,23
10,0.25,16,7
10,0.25,17,2
10,0.5,9,1
10,0.5,10,3
10,0.5,11,8
10,0.5,12,17
10,0.5,13,32
10,0.5,14,47
10,0.5,15,67
10,0.5,16,78
10,0.5,17,73
10,0.5,18,70
10,0.5,19,52
10,0.5,20,32
10,0.5,21,17
10,0.5,22,8
10,0.5,23,4
10,0.5,24,2
10,0.5,25,1
10,0.75,12,3
10,0.75,13,9
10,0.75,14,14
10,0.75,15,29
10,0.75,16,39
10,0.75,17,52
10,0.75,18,68
10,0.75,19,89
10,0.75,20,104
10,0.75,21,119
10,0.75,22,104
10,0.75,23,63
10,0.75,24,40
10,0.75,25,21
10,0.75,26,8
10,0.75,27,2
10,0.75,28,2
10,0.75,29,2
10,1,21,3
10,1,22,13
10,1,23,29
10,1,24,44
10,1,25,63
10,1,26,80
10,1,27,92
10,1,28,93
10,1,29,97
10,1,30,109
10,1,31,119
10,1,32,107
10,1,33,84
10,1,34,45
10,1,35,23
10,1,36,15
10,1,37,5
10,1,38,1
10,1,40,1
10,1,41,1
11,0.25,6,2
11,0.25,7,6
11,0.25,8,5
11,0.25,9,14
11,0.25,10,40
11,0.25,11,44
11,0.25,12,37
11,0.25,13,32
11,0.25,14,26
11,0.25,15,20
11,0.25,16,19
11,0.25,17,10
11,0.25,18,1
11,0.5,10,2
11,0.5,11,13
11,0.5,12,30
11,0.5,13,47
11,0.5,14,65
11,0.5,15,75
11,0.5,16,70
11,0.5,17,64
11,0.5,18,52
11,0.5,19,32
11,0.5,20,33
11,0.5,21,23
11,0.5,22,6
11,0.75,12,1
11,0.75,13,6
11,0.75,14,16
11,0.75,15,26
11,0.75,16,30
11,0.75,17,58
11,0.75,18,77
11,0.75,19,101
11,0.75,20,101
11,0.75,21,71
11,0.75,22,77
11,0.75,23,73
11,0.75,24,53
11,0.75,25,45
11,0.75,26,22
11,0.75,27,10
11,0.75,28,1
11,1,21,3
11,1,22,5
11,1,23,7
11,1,24,9
11,1,25,12
11,1,26,26
11,1,27,30
11,1,28,58
11,1,29,88
11,1,30,119
11,1,31,99
11,1,32,107
11,1,33,105
11,1,34,84
11,1,35,76
11,1,36,61
11,1,37,56
11,1,38,39
11,1,39,27
11,1,40,10
11,1,41,2
11,1,42,1
12,0.25,5,1
12,0.25,6,3
12,0.25,7,9
12,0.25,8,15
12,0.25,9,40
12,0.25,10,65
12,0.25,11,61
12,0.25,12,39
12,0.25,13,18
12,0.25,14,4
12,0.25,15,1
12,0.5,9,4
12,0.5,10,11
12,0.5,11,18
12,0.5,12,34
12,0.5,13,65
12,0.5,14,107
12,0.5,15,105
12,0.5,16,85
12,0.5,17,50
12,0.5,18,24
12,0.5,19,7
12,0.5,20,1
12,0.5,21,1
12,0.75,12,5
12,0.75,13,16
12,0.75,14,28
12,0.75,15,60
12,0.75,16,105
12,0.75,17,125
12,0.75,18,141
12,0.75,19,120
12,0.75,20,91
12,0.75,21,47
12,0.75,22,19
12,0.75,23,10
12,0.75,24,1
12,1,20,3
12,1,21,10
12,1,22,22
12,1,23,32
12,1,24,48
12,1,25,62
12,1,26,73
12,1,27,86
12,1,28,120
12,1,29,136
12,1,30,132
12,1,31,113
12,1,32,81
12,1,33,51
12,1,34,29
12,1,35,20
12,1,36,5
12,1,37,1
13,0.25,5,1
13,0.25,6,5
13,0.25,7,14
13,0.25,8,29
13,0.25,9,34
13,0.25,10,48
13,0.25,11,45
13,0.25,12,41
13,0.25,13,18
13,0.25,14,12
13,0.25,15,7
13,0.25,16,2
13,0.5,7,1
13,0.5,8,2
13,0.5,9,8
13,0.5,10,12
13,0.5,11,35
13,0.5,12,40
13,0.5,13,65
13,0.5,14,83
13,0.5,15,82
13,0.5,16,69
13,0.5,17,44
13,0.5,18,34
13,0.5,19,21
13,0.5,20,11
13,0.5,21,5
13,0.75,9,1
13,0.75,10,1
13,0.75,12,6
13,0.75,13,14
13,0.75,14,39
13,0.75,15,50
13,0.75,16,74
13,0.75,17,110
13,0.75,18,111
13,0.75,19,98
13,0.75,20,83
13,0.75,21,59
13,0.75,22,47
13,0.75,23,38
13,0.75,24,27
13,0.75,25,6
13,0.75,26,3
13,0.75,27,1
13,1,18,1
13,1,19,4
13,1,20,5
13,1,21,8
13,1,22,9
13,1,23,19
13,1,24,47
13,1,25,75
13,1,26,102
13,1,27,120
13,1,28,114
13,1,29,91
13,1,30,80
13,1,31,65
13,1,32,73
13,1,33,64
13,1,34,49
13,1,35,33
13,1,36,23
13,1,37,18
13,1,38,10
13,1,39,6
13,1,40,6
13,1,41,2
14,0.25,2,1
14,0.25,4,1
14,0.25,5,1
14,0.25,6,8
14,0.25,7,14
14,0.25,8,17
14,0.25,9,35
14,0.25,10,46
14,0.25,11,42
14,0.25,12,30
14,0.25,13,13
14,0.25,14,11
14,0.25,15,16
14,0.25,16,9
14,0.25,17,7
14,0.25,18,4
14,0.25,19,1
14,0.5,8,1
14,0.5,9,5
14,0.5,10,12
14,0.5,11,19
14,0.5,12,25
14,0.5,13,47
14,0.5,14,70
14,0.5,15,73
14,0.5,16,75
14,0.5,17,64
14,0.5,18,41
14,0.5,19,27
14,0.5,20,15
14,0.5,21,18
14,0.5,22,12
14,0.5,23,6
14,0.5,24,2
14,0.75,11,1
14,0.75,12,5
14,0.75,13,7
14,0.75,14,14
14,0.75,15,28
14,0.75,16,47
14,0.75,17,72
14,0.75,18,92
14,0.75,19,104
14,0.75,20,102
14,0.75,21,90
14,0.75,22,62
14,0.75,23,47
14,0.75,24,28
14,0.75,25,24
14,0.75,26,13
14,0.75,27,16
14,0.75,28,12
14,0.75,29,3
14,0.75,30,1
14,1,18,2
14,1,19,1
14,1,20,7
14,1,21,13
